pc_id,Constituency,State,Name,Party,QueerStatement,queer_text,Quote,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10,Link 11,Link 12,Trans Rights,LGBTQIA+ Rights,377 Against,377 For,TA FOR,TA AMEND,Homophobe,pc_category,Link
946,Jhansi,Uttar Pradesh,Anurag Sharma,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,"Asked a question in the Parliament regarding the establishment of a Central Commission upon passage of the Transgender Act; the progress made in setting up similar commissions in States and UTs; and, the steps being taken by the Government in ensuring the benefits of reservations in educational institutions and government jobs for transgenders.",http://loksabhaph.nic.in/Questions/QResult15.aspx?qref=11374&lsno=17,,,,,,,,,,,,✓,,,,,,,GEN,https://pinklistindia.com/map/jhansi
203,Hamirpur – Himachal Pradesh,Himachal Pradesh,Anurag Thakur,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,"""Giving 1 or 2 examples of Transgenders success stories is not enough to help their community,we must do more as a society.""",https://timesofindia.indiatimes.com/city/shimla/Anurag-Thakur-raises-transgender-community-issue-in-Parliament/articleshow/52052928.cms,https://twitter.com/ianuragthakur/status/726028022650798080,https://twitter.com/ankitjain2191/status/412563345896509440,http://loksabhaph.nic.in/Debates/Result16.aspx?dbsl=6872,http://loksabhaph.nic.in/Debates/Result16.aspx?dbsl=6872,https://www.youtube.com/watch?v=wFELJMNaaO4,,,,,,,✓,,✓,,,✓,,GEN,https://pinklistindia.com/map/hamirpur-himachal-pradesh
2118,Bhubaneswar,Orissa,Aparajita Sarangi,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,"Their (transgenders') non-acceptance in the mainstream society is a gross violation of the fundamental right to equality, and also of their right to life and liberty.",http://loksabhaph.nic.in/Debates/Result17.aspx?dbsl=816,https://www.youtube.com/watch?v=_LW93vWuWPM,,,,,,,,,,,✓,,,,,,,GEN,https://pinklistindia.com/map/bhubaneswar
1929,Arambagh,West Bengal,Aparupa Poddar,All India Trinamool Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
819,Udaipur,Rajasthan,Arjun Lal Meena,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,ST,https://www.pinklistindia.com/pinksabha/silentmp
2011,Khunti,Jharkhand,Arjun Munda,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,ST,https://www.pinklistindia.com/pinksabha/silentmp
802,Bikaner,Rajasthan,Arjun Ram Meghwal,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,The main point of my bill is that the honourable Delhi High Court's decision (to decriminalise homosexuality in 2009) is not in accordance with Indian culture.,https://www.thehindu.com/news/national/bikaner-mp-to-raise-antihomosexuality-bill-in-lok-sabha/article5448332.ece,http://loksabhaph.nic.in/Debates/Result16.aspx?dbsl=6872,http://164.100.47.194/Loksabha/Debates/Result16.aspx?dbsl=6467,http://loksabhaph.nic.in/Debates/Result17.aspx?dbsl=816,,,,,,,,,,,,,,,✓,SC,https://pinklistindia.com/map/bikaner
1915,Barrackpore,West Bengal,Arjun Singh,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
927,Shahjahanpur,Uttar Pradesh,Arun Kumar Sagar,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
2205,Bilaspur,Chhattisgarh,Arun Sao,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2804,Nizamabad,Telangana,Arvind Dharmapuri,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
607,Rohtak,Haryana,Arvind Kumar Sharma,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2730,Mumbai South,Maharashtra,Arvind Sawant,Shiv Sena,1,Vocal on LGBTQIA+ Issues,"What is this legalisation (and) non-legalisation? Only thing is that some of the things that were within the 4 walls earlier are revealed today. It's not as if - you look at the old history, and epics also, there were lesbians, there were homos, so what is that? Only thing (is that) it has been revealed, I mean, in a big way, because of the media. Relations are there.",https://www.youtube.com/watch?v=orqGdGwJFo0&t=465s,,,,,,,,,,,,,✓,,,,,,GEN,https://pinklistindia.com/map/mumbai-south
2809,Hyderabad,Telangana,Asaduddin Owaisi,AIMIM,1,Vocal on LGBTQIA+ Issues,Asked a question in the Parliament regarding the number of cases and convictions under Section 377 of IPC; and whether the Government proposes to repeal or amend the same section in the light of the Supreme Court judgement recognizing the constitutional right of an individual to determine and identify one’s gender and sexual orientation.,https://www.thehindubusinessline.com/news/national/lok-sabha-passes-triple-talaq-bill-congress-walks-out/article28712332.ece,http://loksabhaph.nic.in/Questions/QResult15.aspx?qref=9664&lsno=16,https://caravanmagazine.in/politics/asaduddin-owaisi-aimim-rough-tumble-politics,https://archive.siasat.com/news/triple-talaq-bill-owaisi-fiery-speech-parliament-went-viral-1450764/,https://loksabha.nic.in/Members/result16.aspx?dbsl=15263,,,,,,,,,✓,✓,,,,✓,GEN,https://pinklistindia.com/map/hyderabad
932,Misrikh,Uttar Pradesh,Ashok Kumar Rawat,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
1006,Madhubani,Bihar,Ashok Kumar Yadav,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2712,Gadchiroli-Chimur,Maharashtra,Ashok Nete,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,ST,https://www.pinklistindia.com/pinksabha/silentmp
1033,Buxar,Bihar,Ashwini Kumar Choubey,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1941,Bolpur,West Bengal,Asit Kumar Mal,All India Trinamool Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
970,Ghosi,Uttar Pradesh,Atul Rai,Bahujan Samaj Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1804,Dhubri,Assam,Badruddin Ajmal,AIUDF,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
808,Alwar,Rajasthan,Balak Nath,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2828,Machilipatnam,Andhra Pradesh,Balashowry Vallabhaneni,YSR Congress Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2803,Karimnagar,Telangana,Bandi Sanjay Kumar,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2111,Kalahandi,Orissa,Basanta Kumar Panda,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2805,Zahirabad,Telangana,BB Patil,Telangana Rashtra Samithi,1,Vocal on LGBTQIA+ Issues,"Asked a question in the Parliament regarding a special fund for generating livelihood opportunities for transgender community; and, the provision of reservations in educational institutions and government jobs for them.",http://loksabhaph.nic.in/Questions/QResult15.aspx?qref=78493&lsno=16,,,,,,,,,,,,✓,,,,,,,GEN,https://pinklistindia.com/map/zahirabad
2822,Anakapalli,Andhra Pradesh,Beesetti Venkata Satyavathi,YSR Congress Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2820,Vizianagaram,Andhra Pradesh,Bellana Chandra Sekhar,YSR Congress Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
3211,Chalakudy,Kerala,Benny Behanan,Indian National Congress,1,Vocal on LGBTQIA+ Issues,Asked a question in Parliament on the reasons to remove the manual titled “Inclusion of Transgender Children in School Education: Concerns and Roadmap” from the National Council for Education Research and Training (NCERT) website.,http://loksabhaph.nic.in/Questions/QResult15.aspx?qref=31984&lsno=17,,,,,,,,,,,,✓,,,,,,,GEN,https://pinklistindia.com/map/chalakudy
813,Ajmer,Rajasthan,Bhagirath Choudhary,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2907,Bidar,Karnataka,Bhagwanth Khuba,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,"Asked a question in the Parliament regarding transgenders' right to choose their own gender, and its impact on society.",http://loksabhaph.nic.in/Questions/QResult15.aspx?qref=20057&lsno=16,,,,,,,,,,,,✓,,,,,,,GEN,https://pinklistindia.com/map/bidar
945,Jalaun,Uttar Pradesh,Bhanu Pratap Singh Verma,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
2720,Dindori,Maharashtra,Bharati Pawar,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,ST,https://www.pinklistindia.com/pinksabha/silentmp
2403,Patan,Gujarat,Bharatsinhji Dabhi Thakor,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2415,Bhavnagar,Gujarat,Bharti Shiyal,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2114,Cuttack,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1,Vocal on LGBTQIA+ Issues,The Bill has provision of self perceived gender identity and screening process to recognise the identity of the transgender person. But if a transgender is denied a certificate of identity by the screening committee then this Bill doesn’t provide any mechanism for appeal or review of such decision of the committee.,http://164.100.47.194/Loksabha/Debates/Result16.aspx?dbsl=6467,https://indiankanoon.org/doc/56411379/,https://www.freepressjournal.in/sports/govt-assures-help-for-dutee,https://www.orissapost.com/bjd-terms-transgender-bill-ineffective/,http://loksabhaph.nic.in/Members/result16.aspx?dbsl=14900,https://www.asianage.com/india/lok-sabha-rejects-tharoor-s-bill-homosexuality-478,http://loksabhaph.nic.in/Debates/Result16.aspx?dbsl=6872,http://164.100.47.194/Loksabha/Debates/Result16.aspx?dbsl=6467,http://loksabhaph.nic.in/Debates/Result16.aspx?dbsl=14778,http://loksabhaph.nic.in/Debates/Result17.aspx?dbsl=3907,,,✓,✓,✓,,,,,GEN,https://pinklistindia.com/map/cuttack
2714,Yavatmal-Washim,Maharashtra,Bhavana Gawali,Shiv Sena,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
914,Bulandshahr,Uttar Pradesh,Bhola Singh,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,"Voted against the introduction of Shashi Tharoor's private member bill, the Indian Penal Code (Amendment) Bill, 2015, which substituted a new section for Section 377.",http://164.100.47.194/Loksabha/Debates/Result16.aspx?dbsl=6467,,,,,,,,,,,,,,,✓,,,,SC,https://pinklistindia.com/map/bulandshahr
2009,Jamshedpur,Jharkhand,Bidyut Baran Mahato,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2105,Mayurbhanj,Orissa,Bishweswar Tudu,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,ST,https://www.pinklistindia.com/pinksabha/silentmp
2927,Chikballapur,Karnataka,BN Bache Gowda,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
974,Machhlishahr,Uttar Pradesh,BP Saroj,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
957,Kaiserganj,Uttar Pradesh,Brij Bhushan Sharan Singh,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
604,Hisar,Haryana,Brijendra Singh,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2914,Shimoga,Karnataka,BY Raghavendra,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1501,Mizoram,Mizoram,C Lalrosanga,Mizo National Front,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,ST,https://www.pinklistindia.com/pinksabha/silentmp
1039,Nawada,Bihar,Chandan Singh,Lok Janshakti Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
1036,Jahanabad,Bihar,Chandeshwar Prasad,Janata Dal (United),0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2006,Giridih,Jharkhand,Chandra Prakash Choudhary,All Jharkhand Students Union,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
821,Chittorgarh,Rajasthan,Chandra Prakash Joshi,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,Raised a question in Parliament on the number of Garima Greh being run for transgender persons in the country.,http://loksabhaph.nic.in/Questions/QResult15.aspx?qref=28990&lsno=17 ,,,,,,,,,,,,✓,,,,,,,GEN,https://pinklistindia.com/map/chittorgarh
2120,Berhampur,Orissa,Chandra Sekhar Sahu,Biju Janata Dal,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2104,Keonjhar,Orissa,Chandrani Murmu,Biju Janata Dal,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,ST,https://www.pinklistindia.com/pinksabha/silentmp
920,Firozabad,Uttar Pradesh,Chandrasen Jadon,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2325,Dhar,Madhya Pradesh,Chattar Singh Darbar,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,ST,https://www.pinklistindia.com/pinksabha/silentmp
1034,Sasaram,Bihar,Chhedi Paswan,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
2824,Amalapuram,Andhra Pradesh,Chinta Anuradha,YSR Congress Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
1040,Jamui,Bihar,Chirag Paswan,Lok Janshakti Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
1920,Mathurapur,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,SC,https://www.pinklistindia.com/pinksabha/silentmp
2209,Mahasamund,Chhattisgarh,Chunni Lal Sahu,Bharatiya Janata Party,0,Silent on LGBTQIA+ Issues,,,,,,,,,,,,,,,,,,,,,GEN,https://www.pinklistindia.com/pinksabha/silentmp
2425,Navsari,Gujarat,CR Patil,Bharatiya Janata Party,1,Vocal on LGBTQIA+ Issues,"Asked questions in Parliament on whether the Government is contemplating to financially empower transgenders/ eunuchs in the country, whether the Life Insurance Corporation of India (LIC) has taken initiative to appoint such transgenders/eunuchs as its agents, and the details thereof alongwith the eligibility criterion for such appointments?",http://loksabhaph.nic.in/Questions/QResult15.aspx?qref=100801&lsno=15,http://164.100.47.194/Loksabha/Debates/Result16.aspx?dbsl=6467,,,,,,,,,,,✓,,,✓,,,,GEN,https://pinklistindia.com/map/navsari
3313,Viluppuram,Tamil Nadu,D Ravikumar,DMK (VCK),1,Vocal on LGBTQIA+ Issues,The Supreme Court's ruling on IPC Section 377 states that constitutional morality is more important than social morality in any case of social discrimination.,https://www.hindustantimes.com/india-news/first-constituency-then-state-nation/story-6ZrWdYrzqWouzvAVUERwlJ.html,https://twitter.com/WriterRavikumar/status/1037652587074355201,https://twitter.com/thirunangai/status/1466745843575255042?s=21,,,,,,,,,,✓,✓,✓,,,,,SC,https://pinklistindia.com/map/viluppuram
